waypoint1	waypoint2	distance_m	duration_s
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1550290	88629
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Taj Mahal, Agra, Uttar Pradesh, India	414502	26811
Palolem Beach, Goa, India	Kaziranga National Park, Kanchanjuri, Assam, India	3327988	193555
India Backwaters, Kochi, Kerala, India	Ajanta Caves, Aurangabad, Maharashtra, India	1566687	91247
Dal Lake, Rainawari, Srinagar	Mehrangarh Fort, Jodhpur, Rajasthan, India	1225407	76441
Qutub Minar, New Delhi, Delhi, India	India Backwaters, Kochi, Kerala, India	2691899	139508
Qutub Minar, New Delhi, Delhi, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1444542	71208
Agra Fort, Agra, Uttar Pradesh, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	572851	31575
Qutub Minar, New Delhi, Delhi, India	Jog Falls, Karnataka, India	1998771	107849
Gandhi Smriti, New Delhi, Delhi, India	Maharajah's Palace, Mysore, Karnataka, India	2276855	118076
Kanha National Park, Madhya Pradesh, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	745438	41840
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Jog Falls, Karnataka, India	1727410	100220
Solang Valley, Burwa, Himachal Pradesh, India	Agra Fort, Agra, Uttar Pradesh, India	763585	46612
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Jog Falls, Karnataka, India	1757960	94772
Ajanta Caves, Aurangabad, Maharashtra, India	Taj Mahal, Agra, Uttar Pradesh, India	915076	62970
Amer Fort and Palace, Jaipur, Rajasthan, India	Maharajah's Palace, Mysore, Karnataka, India	2067066	112576
Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1471328	74287
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Swaminarayan Akshardham, New Delhi, Delhi, India	776492	41950
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Taj Mahal, Agra, Uttar Pradesh, India	1425211	73638
Taj Mahal, Agra, Uttar Pradesh, India	Charminar, Hyderabad, Telangana, India	1348754	74132
Maharajah's Palace, Mysore, Karnataka, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	1996005	103957
Kaziranga National Park, Kanchanjuri, Assam, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1309729	80355
Solang Valley, Burwa, Himachal Pradesh, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	823488	49717
Swaminarayan Akshardham, New Delhi, Delhi, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	794486	38295
Ajanta Caves, Aurangabad, Maharashtra, India	Agra Fort, Agra, Uttar Pradesh, India	913143	62558
Golden Temple, Amritsar, Punjab, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	659089	34704
Marine Drive, Chowpatty, Mumbai, Maharashtra, India	Taj Mahal, Agra, Uttar Pradesh, India	1424588	73564
Konark Sun Temple, Konark, Odisha, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1020895	56294
Virupaksha Temple, Hampi, Karnataka, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	751981	40225
Golden Temple, Amritsar, Punjab, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	456243	26818
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Virupaksha Temple, Hampi, Karnataka, India	1779490	91811
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Charminar, Hyderabad, Telangana, India	1460028	83355
Palolem Beach, Goa, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	642122	38569
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1556885	85869
Maharajah's Palace, Mysore, Karnataka, India	Ajanta Caves, Aurangabad, Maharashtra, India	1068751	67432
Solang Valley, Burwa, Himachal Pradesh, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	1148871	68734
Konark Sun Temple, Konark, Odisha, India	Jog Falls, Karnataka, India	1751766	99360
Gandhi Smriti, New Delhi, Delhi, India	Agra Fort, Agra, Uttar Pradesh, India	204860	8852
Konark Sun Temple, Konark, Odisha, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1155786	69024
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Swaminarayan Akshardham, New Delhi, Delhi, India	264386	14189
Taj Mahal, Agra, Uttar Pradesh, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	899316	47313
Solang Valley, Burwa, Himachal Pradesh, India	Konark Sun Temple, Konark, Odisha, India	2257870	129379
Golden Temple, Amritsar, Punjab, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1843194	107573
Kanha National Park, Madhya Pradesh, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1302468	83217
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	India Backwaters, Kochi, Kerala, India	1551980	78688
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	240088	13732
Swaminarayan Akshardham, New Delhi, Delhi, India	Kaziranga National Park, Kanchanjuri, Assam, India	1936039	113714
Golden Temple, Amritsar, Punjab, India	Swaminarayan Akshardham, New Delhi, Delhi, India	462747	26693
Ajanta Caves, Aurangabad, Maharashtra, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	1482171	87093
Humayun's Tomb, New Delhi, Delhi, India	Amer Fort and Palace, Jaipur, Rajasthan, India	250524	13443
Humayun's Tomb, New Delhi, Delhi, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2602086	134412
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	1470596	74138
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Agra Fort, Agra, Uttar Pradesh, India	238216	13546
Kanha National Park, Madhya Pradesh, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1110957	62541
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	1470145	74201
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1422389	82536
Dal Lake, Rainawari, Srinagar	Palolem Beach, Goa, India	2710609	160712
Golconda Fort, Fort Road, Hyderabad, Telangana, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	726251	41828
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Taj Mahal, Agra, Uttar Pradesh, India	243014	14222
Jog Falls, Karnataka, India	Ajanta Caves, Aurangabad, Maharashtra, India	893483	52917
Amer Fort and Palace, Jaipur, Rajasthan, India	Kaziranga National Park, Kanchanjuri, Assam, India	2077595	120731
Kanha National Park, Madhya Pradesh, India	Marina Beach, Chennai, Tamil Nadu, India	1388836	75542
Gandhi Smriti, New Delhi, Delhi, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1545635	83212
Marina Beach, Chennai, Tamil Nadu, India	Dal Lake, Rainawari, Srinagar	3015738	170724
Kanha National Park, Madhya Pradesh, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	526668	37873
Maharajah's Palace, Mysore, Karnataka, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1977015	111030
Konark Sun Temple, Konark, Odisha, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1813066	98506
Agra Fort, Agra, Uttar Pradesh, India	Kaziranga National Park, Kanchanjuri, Assam, India	1837763	107174
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	800951	38295
Qutub Minar, New Delhi, Delhi, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2610064	135021
Marina Beach, Chennai, Tamil Nadu, India	India Backwaters, Kochi, Kerala, India	688007	38962
India Backwaters, Kochi, Kerala, India	Kaziranga National Park, Kanchanjuri, Assam, India	3438576	196877
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	India Backwaters, Kochi, Kerala, India	2579489	130274
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	934989	46240
Swaminarayan Akshardham, New Delhi, Delhi, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1460937	72147
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	India Backwaters, Kochi, Kerala, India	2560950	133895
Kanha National Park, Madhya Pradesh, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	1811135	95032
Gandhi Smriti, New Delhi, Delhi, India	Swaminarayan Akshardham, New Delhi, Delhi, India	5907	582
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	1460843	71797
Dal Lake, Rainawari, Srinagar	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1651922	93707
Humayun's Tomb, New Delhi, Delhi, India	Virupaksha Temple, Hampi, Karnataka, India	1874011	102231
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2293097	130836
Qutub Minar, New Delhi, Delhi, India	Swaminarayan Akshardham, New Delhi, Delhi, India	18308	1874
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Kaziranga National Park, Kanchanjuri, Assam, India	1835152	106915
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2108872	112808
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1163370	65261
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Amer Fort and Palace, Jaipur, Rajasthan, India	8113	877
Qutub Minar, New Delhi, Delhi, India	Konark Sun Temple, Konark, Odisha, India	1704683	92184
Gandhi Smriti, New Delhi, Delhi, India	Palolem Beach, Goa, India	1908320	107953
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Palolem Beach, Goa, India	1669118	90284
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2605624	134633
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Konark Sun Temple, Konark, Odisha, India	1813517	98442
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Palolem Beach, Goa, India	1916053	107505
Gandhi Smriti, New Delhi, Delhi, India	Golden Temple, Amritsar, Punjab, India	458690	26345
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Palolem Beach, Goa, India	1622601	99490
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	775290	42018
Solang Valley, Burwa, Himachal Pradesh, India	Palolem Beach, Goa, India	2476538	142779
Gandhi Smriti, New Delhi, Delhi, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	596717	31197
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Dal Lake, Rainawari, Srinagar	1101554	67968
Qutub Minar, New Delhi, Delhi, India	Virupaksha Temple, Hampi, Karnataka, India	1861810	101613
Humayun's Tomb, New Delhi, Delhi, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	200500	8587
Ganges, Katesar, Varanasi, Uttar Pradesh, India	Taj Mahal, Agra, Uttar Pradesh, India	602741	32360
Jog Falls, Karnataka, India	Palolem Beach, Goa, India	187997	13486
Solang Valley, Burwa, Himachal Pradesh, India	Qutub Minar, New Delhi, Delhi, India	573213	39285
Marina Beach, Chennai, Tamil Nadu, India	Taj Mahal, Agra, Uttar Pradesh, India	1978933	106631
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1071104	54837
Jog Falls, Karnataka, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	743751	38967
Ajanta Caves, Aurangabad, Maharashtra, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	567401	37797
Amer Fort and Palace, Jaipur, Rajasthan, India	Jog Falls, Karnataka, India	1761948	96846
Solang Valley, Burwa, Himachal Pradesh, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	2027319	107611
Solang Valley, Burwa, Himachal Pradesh, India	India Backwaters, Kochi, Kerala, India	3232111	177460
Qutub Minar, New Delhi, Delhi, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	760096	41010
Gandhi Smriti, New Delhi, Delhi, India	Qutub Minar, New Delhi, Delhi, India	15618	1608
Konark Sun Temple, Konark, Odisha, India	Palolem Beach, Goa, India	1798681	101838
Amer Fort and Palace, Jaipur, Rajasthan, India	Charminar, Hyderabad, Telangana, India	1469910	84014
Agra Fort, Agra, Uttar Pradesh, India	Taj Mahal, Agra, Uttar Pradesh, India	6070	849
Dal Lake, Rainawari, Srinagar	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	2257151	125262
Konark Sun Temple, Konark, Odisha, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1822010	102648
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2497654	125787
Kanha National Park, Madhya Pradesh, India	Agra Fort, Agra, Uttar Pradesh, India	743513	41604
Virupaksha Temple, Hampi, Karnataka, India	Taj Mahal, Agra, Uttar Pradesh, India	1743462	96875
Gandhi Smriti, New Delhi, Delhi, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	202250	8593
Swaminarayan Akshardham, New Delhi, Delhi, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	937175	46236
Dal Lake, Rainawari, Srinagar	Amer Fort and Palace, Jaipur, Rajasthan, India	1050807	67165
Golden Temple, Amritsar, Punjab, India	Amer Fort and Palace, Jaipur, Rajasthan, India	639717	36293
Golden Temple, Amritsar, Punjab, India	Taj Mahal, Agra, Uttar Pradesh, India	667770	35813
Konark Sun Temple, Konark, Odisha, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1107499	65836
Qutub Minar, New Delhi, Delhi, India	Agra Fort, Agra, Uttar Pradesh, India	210482	9518
Palolem Beach, Goa, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2807634	161861
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2105335	118359
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Itmad-ud-Daula, Agra, Uttar Pradesh, India	644085	34389
Dal Lake, Rainawari, Srinagar	Agra Fort, Agra, Uttar Pradesh, India	1057889	64543
Golden Temple, Amritsar, Punjab, India	Agra Fort, Agra, Uttar Pradesh, India	661700	34964
Humayun's Tomb, New Delhi, Delhi, India	Palolem Beach, Goa, India	1906163	107737
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Charminar, Hyderabad, Telangana, India	1751577	93128
Qutub Minar, New Delhi, Delhi, India	Taj Mahal, Agra, Uttar Pradesh, India	216552	10367
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	781231	39338
Qutub Minar, New Delhi, Delhi, India	Amer Fort and Palace, Jaipur, Rajasthan, India	238945	12765
Solang Valley, Burwa, Himachal Pradesh, India	Dal Lake, Rainawari, Srinagar	542784	42851
Gandhi Smriti, New Delhi, Delhi, India	Ajanta Caves, Aurangabad, Maharashtra, India	1205549	63564
Golconda Fort, Fort Road, Hyderabad, Telangana, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	1033538	53173
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Jog Falls, Karnataka, India	1782560	109670
Swaminarayan Akshardham, New Delhi, Delhi, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1415685	82009
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	896389	46823
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Ajanta Caves, Aurangabad, Maharashtra, India	813386	52230
Humayun's Tomb, New Delhi, Delhi, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	260193	13867
Qutub Minar, New Delhi, Delhi, India	Dal Lake, Rainawari, Srinagar	867517	57216
Agra Fort, Agra, Uttar Pradesh, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2399299	125709
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	779652	38425
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	598848	31522
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	780607	39264
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Jog Falls, Karnataka, India	2017682	107903
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Charminar, Hyderabad, Telangana, India	724519	41479
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	874962	50570
Kanha National Park, Madhya Pradesh, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	1190123	64929
Amer Fort and Palace, Jaipur, Rajasthan, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1557241	89026
Golconda Fort, Fort Road, Hyderabad, Telangana, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2136984	120704
Golden Temple, Amritsar, Punjab, India	Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	837841	43280
Agra Fort, Agra, Uttar Pradesh, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1419790	72887
Swaminarayan Akshardham, New Delhi, Delhi, India	Maharajah's Palace, Mysore, Karnataka, India	2271578	117681
Gandhi Smriti, New Delhi, Delhi, India	Amer Fort and Palace, Jaipur, Rajasthan, India	252964	13519
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	557381	30117
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	1163301	64722
Golden Temple, Amritsar, Punjab, India	Virupaksha Temple, Hampi, Karnataka, India	2205524	121129
Gandhi Smriti, New Delhi, Delhi, India	Charminar, Hyderabad, Telangana, India	1551548	82478
Golden Temple, Amritsar, Punjab, India	Solang Valley, Burwa, Himachal Pradesh, India	429556	29514
Dal Lake, Rainawari, Srinagar	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	3438037	190214
Dal Lake, Rainawari, Srinagar	Sabarmati Ashram, Ahmedabad, Gujarat, India	1731879	99011
Konark Sun Temple, Konark, Odisha, India	Virupaksha Temple, Hampi, Karnataka, India	1464269	81786
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1556434	85932
Solang Valley, Burwa, Himachal Pradesh, India	Swaminarayan Akshardham, New Delhi, Delhi, India	564632	38342
Gateway Of India Mumbai, Mumbai, Maharashtra, India	Dal Lake, Rainawari, Srinagar	2261390	125544
Marina Beach, Chennai, Tamil Nadu, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1354196	66061
Kanha National Park, Madhya Pradesh, India	Dal Lake, Rainawari, Srinagar	1800490	105945
Swaminarayan Akshardham, New Delhi, Delhi, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	7964	860
Ajanta Caves, Aurangabad, Maharashtra, India	Kaziranga National Park, Kanchanjuri, Assam, India	2405905	149549
Gandhi Smriti, New Delhi, Delhi, India	India Backwaters, Kochi, Kerala, India	2685861	138955
Swaminarayan Akshardham, New Delhi, Delhi, India	Khajuraho Temples, Khajuraho, Madhya Pradesh, India	630494	33647
Golden Temple, Amritsar, Punjab, India	Marina Beach, Chennai, Tamil Nadu, India	2637134	141311
India Backwaters, Kochi, Kerala, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	301120	24294
Amer Fort and Palace, Jaipur, Rajasthan, India	India Backwaters, Kochi, Kerala, India	2567510	136105
Mehrangarh Fort, Jodhpur, Rajasthan, India	Charminar, Hyderabad, Telangana, India	1434636	86569
Solang Valley, Burwa, Himachal Pradesh, India	Jog Falls, Karnataka, India	2578168	143177
Humayun's Tomb, New Delhi, Delhi, India	Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	1456744	71825
Marina Beach, Chennai, Tamil Nadu, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	668181	34670
Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	2123056	115807
Humayun's Tomb, New Delhi, Delhi, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1458254	72165
Humayun's Tomb, New Delhi, Delhi, India	India Backwaters, Kochi, Kerala, India	2683921	138899
Golconda Fort, Fort Road, Hyderabad, Telangana, India	Mehrangarh Fort, Jodhpur, Rajasthan, India	1423124	85736
Ganges, Katesar, Varanasi, Uttar Pradesh, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1387877	71325
Khajuraho Temples, Khajuraho, Madhya Pradesh, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	637829	34321
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Virupaksha Temple, Hampi, Karnataka, India	1620486	89166
Amer Fort and Palace, Jaipur, Rajasthan, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2485675	131618
Virupaksha Temple, Hampi, Karnataka, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2473222	141809
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Golconda Fort, Fort Road, Hyderabad, Telangana, India	1378233	74261
Amer Fort and Palace, Jaipur, Rajasthan, India	Palolem Beach, Goa, India	1657139	96115
Palolem Beach, Goa, India	Taj Mahal, Agra, Uttar Pradesh, India	1677759	109115
Ajanta Caves, Aurangabad, Maharashtra, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	608386	32917
Humayun's Tomb, New Delhi, Delhi, India	Qutub Minar, New Delhi, Delhi, India	11729	1459
Mani Bhavan Gandhi Sanghralaya, Laburnum Road, Papanas Wadi, Mumbai, Maharashtra, India	Kaziranga National Park, Kanchanjuri, Assam, India	2812999	162604
Marina Beach, Chennai, Tamil Nadu, India	Maharajah's Palace, Mysore, Karnataka, India	486207	27131
Swaminarayan Akshardham, New Delhi, Delhi, India	Agra Fort, Agra, Uttar Pradesh, India	201681	8610
Marina Beach, Chennai, Tamil Nadu, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1354647	65998
Ajanta Caves, Aurangabad, Maharashtra, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1109752	72510
Jaisalmer Fort, Amar Sagar Pol, Jaisalmer, Rajasthan, India	Agra Fort, Agra, Uttar Pradesh, India	810379	43751
Palace Of Maharana Pratap, Udaipur, Rajasthan, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	255335	13013
Qutub Minar, New Delhi, Delhi, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	1426829	82924
Palolem Beach, Goa, India	Agra Fort, Agra, Uttar Pradesh, India	1675826	108703
Humayun's Tomb, New Delhi, Delhi, India	Dal Lake, Rainawari, Srinagar	861002	56674
Konark Sun Temple, Konark, Odisha, India	Amer Fort and Palace, Jaipur, Rajasthan, India	1749698	98146
India Backwaters, Kochi, Kerala, India	Palolem Beach, Goa, India	722351	53632
Swaminarayan Akshardham, New Delhi, Delhi, India	Taj Mahal, Agra, Uttar Pradesh, India	205653	9305
Marina Beach, Chennai, Tamil Nadu, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	2183324	115143
Virupaksha Temple, Hampi, Karnataka, India	Sabarmati Ashram, Ahmedabad, Gujarat, India	1249411	64072
Jog Falls, Karnataka, India	Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	2760719	159383
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Dal Lake, Rainawari, Srinagar	1055278	64284
Itmad-ud-Daula, Agra, Uttar Pradesh, India	Swaminarayan Akshardham, New Delhi, Delhi, India	196972	8197
Maharajah's Palace, Mysore, Karnataka, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1048806	54275
Jog Falls, Karnataka, India	Ganges, Katesar, Varanasi, Uttar Pradesh, India	1778119	114678
India Backwaters, Kochi, Kerala, India	Taj Mahal, Agra, Uttar Pradesh, India	2483067	130609
Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	Charminar, Hyderabad, Telangana, India	1553146	82644
Qutub Minar, New Delhi, Delhi, India	Kaziranga National Park, Kanchanjuri, Assam, India	1947183	114629
Golconda Fort, Fort Road, Hyderabad, Telangana, India	Agra Fort, Agra, Uttar Pradesh, India	1376309	74025
Solang Valley, Burwa, Himachal Pradesh, India	Marina Beach, Chennai, Tamil Nadu, India	2737029	154065
Darjeeling Rangeet Valley Passenger Ropeway, Darjeeling, West Bengal, India	Charminar, Hyderabad, Telangana, India	2098300	119919
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Kodaikanal Lake, Kodaikanal, Tamil Nadu, India	2478181	130889
Humayun's Tomb, New Delhi, Delhi, India	Kanha National Park, Madhya Pradesh, India	946300	50306
Hawa Mahal, Hawa Mahal Road, Badi Choupad, Pink City, Jaipur, Rajasthan, India	Marine Drive, Chowpatty, Mumbai, Maharashtra, India	1201736	59814
Kanha National Park, Madhya Pradesh, India	Ajanta Caves, Aurangabad, Maharashtra, India	706175	42108
Amer Fort and Palace, Jaipur, Rajasthan, India	Red Fort, Netaji Subhash Marg, Chandni Chowk, New Delhi, Delhi, India	255095	13844
Gandhi Smriti, New Delhi, Delhi, India	Gateway Of India Mumbai, Mumbai, Maharashtra, India	1461034	72455
Konark Sun Temple, Konark, Odisha, India	Charminar, Hyderabad, Telangana, India	1089347	59896
